Expansion,Energy_Barrier,Stiffness,t,theta,L,s,gap,expL,area E
0.3746327959911464,0.36012849138945585,0.7469205847309877,0.19461,-0.0952,1,0.546886787,0.454369742,1.454369742,2.115191347
0.36109363504989656,0.20188518820235857,0.38213840666298365,0.19685,-0.1904,1,0.665318042,0.435207874,1.435207874,2.059821643
0.36392672205266147,0.4568903673029492,1.288900577509818,0.19,-0.0238,1,0.463265544,0.44403904,1.44403904,2.08524875
0.32599134197516944,0.4345636998337469,0.9437856820504293,0.19,0.0238,1,0.396490898,0.412721535,1.412721535,1.995782135
0.3083985286788421,0.39619525761481106,1.4716104969242352,0.19,0.0476,1,0.362757218,0.392242786,1.392242786,1.938339974
0.2794710979430492,0.3393750358256844,0.9912351192361666,0.19,0.0714,1,0.328818068,0.368610144,1.368610144,1.873093727
0.2493663491163622,0.2636520392392622,0.7323011902276156,0.19,0.0952,1,0.29469267,0.341877146,1.341877146,1.800634276
0.3409438775510203,0.4528658562396951,0.5409256886170786,0.19,0,1,0.43,0.43,1.43,2.0449
0.21836287151790512,0.17381927492532334,0.7917872600016309,0.19,0.119,1,0.260400355,0.312104351,1.312104351,1.721617827
0.18029884555691533,0.077832664,0.44628518768267206,0.19,0.1428,1,0.225960546,0.279359203,1.279359203,1.63675997
0.1381850849759572,0.00277083,0.5348767115328663,0.19,0.1666,1,0.19139275,0.243715881,1.243715881,1.546829193
NULL,NULL,NULL,0.19,0.1904,1,0.156716546,0.20525513,1.20525513,1.452639929
NULL,NULL,NULL,0.19,0.2142,1,0.121951576,0.164064076,1.164064076,1.355045172
NULL,NULL,NULL,0.19,0.238,1,0.087117531,0.120236029,1.120236029,1.254928762
0.6262007124823672,1.4697625310654672,1.0763095618391114,0.1,-0.0238,1,0.736898781,0.706315916,1.706315916,2.911514007
0.6101170423708707,1.7146118964355246,1.487824296202754,0.1,0.0238,1,0.662704729,0.689833019,1.689833019,2.855535631
0.5968793206070773,1.7952346834612969,1.7323773636798039,0.1,0.0476,1,0.625034094,0.675838004,1.675838004,2.808433017
0.5802139947292457,1.8489256952539652,2.025329207809818,0.1,0.0714,1,0.587009431,0.65804666,1.65804666,2.749118727
0.5601580421445619,1.8642707466528405,2.357818561,0.1,0.0952,1,0.548652279,0.636499289,1.636499289,2.678129924
0.6198979591836733,1.603246465738954,1.2620534688443554,0.1,0,1,0.7,0.7,1.7,2.89
0.5218462409063216,1.8184232544027479,1.5004199400541673,0.1,0.119,1,0.509984362,0.611244704,1.611244704,2.596109496
0.4958921838296459,1.7596377313780036,1.945911727,0.1,0.1428,1,0.471027583,0.582340114,1.582340114,2.503800236
0.4534570320362258,1.6125857331045543,-1.525201008,0.1,0.1666,1,0.431804008,0.549850998,1.549850998,2.402038116
0.4346169141128029,1.4697097388540459,3.185049335,0.1,0.1904,1,0.392335854,0.513850955,1.513850955,2.291744713
0.3766083682667133,1.2768581881957592,0.6258410844734156,0.1,0.2142,1,0.352645475,0.474421536,1.474421536,2.173918866
0.3303512159258776,1.0415578461819774,1.293765475279315,0.1,0.238,1,0.312755354,0.431652063,1.431652063,2.049627628
0.25629452959344784,0.7800315816001953,0.22820898991423152,0.1,0.2618,1,0.272688083,0.385639422,1.385639422,1.919996607
0.17390359086781035,0.5274919985290065,1.1796569488259423,0.1,0.2856,1,0.232466359,0.336487847,1.336487847,1.786199765
0.19082823519278655,0.16787330802560196,0.8118081252883849,0.1,0.3094,1,0.192112962,0.284308684,1.284308684,1.649448795
NULL,NULL,NULL,0.1,0.3332,1,0.15165075,0.229220134,1.229220134,1.510982138
NULL,NULL,NULL,0.1,0.357,1,0.111102641,0.171346993,1.171346993,1.372053778
NULL,NULL,NULL,0.1,0.3808,1,0.070491602,0.110820361,1.110820361,1.233921875
0.3604602971100611,0.22606651482864615,0.5341920819097277,0.20037,-0.1666,1,0.623042138,0.435461365,1.435461365,2.06054933
0.3473319419243789,0.35445446091127264,1.4116568394615512,0.20081,-0.0476,1,0.462984521,0.424303482,1.424303482,2.028640408
0.3422720961160888,0.1506698918912088,0.4044996253848424,0.20245,-0.2142,1,0.67731443,0.412465544,1.412465544,1.995058913
0.3583241958701235,0.2500126634550156,0.6861624519098042,0.20292,-0.1428,1,0.583735633,0.433904876,1.433904876,2.056083193
